wikidata_id_a,wikidata_id_b,trec_id
Q707128,Q4791298,13
Q403784,Q707128,15
Q30,Q47488,30
Q6004986,Q841440,72
Q105972808,Q1570179,97
Q327362,Q1351681,100
Q114567855,Q23397,110
Q4791298,Q99,143
Q405737,Q11980660,148
Q1916282,Q131755,164
Q1312371,Q17027869,167
Q109229540,Q639354,178
Q3611806,Q53640989,183
Q104859382,Q835051,197
Q1144127,Q212564,199
Q317441,Q112109147,209
Q246400,Q418977,214
Q1339409,Q1620154,270
Q402820,Q1415,271
Q4803676,Q105677219,280
Q380075,Q1369260,294
Q388505,Q96407993,296
Q246400,Q3594958,307
Q22298127,Q1983664,312
Q626981,Q15762858,314
Q250216,Q6027402,335
Q3988718,Q99,347
Q109229540,Q16555,381
Q1893186,Q234097,392
Q396289,Q1326354,404
Q1181506,Q85767297,409
Q1531490,Q822050,412
Q1326731,Q1339409,431
Q1326731,Q2613040,431
Q1339409,Q2613040,431
Q15180,Q203383,437
Q218,Q30,474
Q403784,Q399644,493
Q645446,Q107394799,526
Q11995,Q917069,540
Q6502171,Q824,544
Q73411727,Q17002116,546
Q204711,Q409411,547
Q569057,Q407541,607
Q3656255,Q30,616
Q1538499,Q1204,639
Q8463320,Q115978920,642
Q16555,Q1339409,644
Q12606,Q1037889,653
Q12606,Q3656255,653
Q1037889,Q3656255,653
Q1581,Q6908784,660
Q23558,Q18389738,665
Q346499,Q396289,687
Q15100200,Q144,689
Q96377285,Q870337,696
Q95483912,Q183129,701
Q95483912,Q131123,701
Q183129,Q131123,701
Q428363,Q115519417,729
Q8676,Q49042,741
Q2281580,Q1340307,745
Q85776563,Q99,763
Q7061765,Q16263505,774
Q98149276,Q32920353,792
Q400674,Q65058412,845
Q7404297,Q108144643,857
Q1339409,Q794,878
Q174876,Q1393,887
Q4922381,Q60735641,905
Q4922381,Q11268,905
Q60735641,Q11268,905
Q428363,Q1307337,925
Q396289,Q131172,926
Q6715355,Q11995,940
Q239757,Q6028820,962
Q6758297,Q240974,982
Q409411,Q46627,1006
Q5119,Q96407993,1007
Q626981,Q38695,1025
Q417198,Q234097,1027
Q105196,Q3368748,1067
Q428363,Q572931,1098
Q106707259,Q3236003,1106
Q107526334,Q298257,1110
Q1135142,Q16877896,1111
Q1135142,Q179399,1111
Q16877896,Q179399,1111
Q11493441,Q8350378,1112
Q16768157,Q620876,1135
Q13368786,Q3308934,1147
Q346499,Q66483,1161
Q1326354,Q4469598,1163
Q3077124,Q181095,1165
Q23558,Q1204,1205
Q707859,Q7496255,1214
Q476921,Q191089,1216
Q12135,Q389735,1227
Q58185346,Q20026887,1234
Q2352137,Q108144643,1255
Q109,Q2021,1291
Q25206207,Q7404297,1301
Q409411,Q105726,1306
Q654483,Q99,1342
Q14080,Q20962709,1358
Q1156329,Q818,1369
Q419342,Q724,1382
Q265896,Q869,1417
Q3187415,Q1938952,1426
Q317441,Q1269144,1427
Q707128,Q30,1428
Q107285103,Q85799996,1465
Q55517135,Q4207359,1468
Q346195,Q83323,1490
Q58185346,Q220,1492
Q306026,Q406654,1497
Q2300281,Q173,1498
Q527905,Q5467169,1504
Q4713331,Q2300281,1509
Q7144814,Q225921,1547
Q104858363,Q16857188,1588
Q7398599,Q2531113,1614
Q69897,Q99,1615
Q98149276,Q917069,1626
Q420492,Q191072,1640
Q5403012,Q65091783,1650
Q1415,Q1339409,1654
Q201608,Q15,1666
Q201608,Q7229772,1666
Q15,Q7229772,1666
Q442470,Q72259,1668
Q115178805,Q1852115,1677
Q1326354,Q1537,1694
Q132621,Q294915,1699
Q99,Q96,1700
Q340713,Q58185346,1703
Q7879707,Q6545842,1705
Q364473,Q109945066,1706
Q36747,Q5599761,1708
Q1400881,Q8395558,1751
Q958359,Q630533,1760
Q12187,Q173022,1773
Q399644,Q210871,1775
Q4469598,Q58185346,1777
Q5462698,Q210912,1781
Q18809342,Q3277092,1795
Q399644,Q179179,1801
Q468565,Q80336,1814
Q423828,Q346195,1815
Q1754533,Q20312719,1828
Q923928,Q176464,1829
Q779,Q1728882,1846
Q1204,Q1581,1862
Q93318,Q109945066,1864
Q22063662,Q7914465,1865
Q445178,Q16857188,1869
Q49042,Q2658255,1871
Q8636428,Q3278958,1875
Q5196494,Q238536,1884
Q427645,Q1059,1888
Q201608,Q15,1890
Q227502,Q707128,1897
Q18659,Q28153896,1898
Q1415,Q48282,1900
Q4006581,Q48525,1906
Q680909,Q23198657,1919
Q932522,Q142153,1920
Q5,Q6473911,1934
Q111914873,Q7508507,1941
Q696776,Q1839249,1949
Q696776,Q229748,1949
Q1839249,Q229748,1949
Q4104783,Q351017,1952
Q4104783,Q191089,1952
Q351017,Q191089,1952
Q15709970,Q187939,1977
Q1194891,Q111634895,2002
Q79785,Q79785,2010
Q93803581,Q21646280,2027
Q93803581,Q104969991,2027
Q21646280,Q104969991,2027
Q816425,Q291174,2039
Q454263,Q1400881,2040
Q1207333,Q178095,2051
Q48525,Q17141382,2061
Q527905,Q85799996,2062
Q85797355,Q113677740,2063
Q1219632,Q877054,2068
Q9385,Q6140833,2082
Q4983379,Q1428030,2086
Q13561011,Q12131,2091
Q69897,Q524572,2105
Q189306,Q235153,2113
Q1643175,Q1587249,2130
Q6545842,Q111945786,2164
Q850692,Q329525,2172
Q2997557,Q680909,2175
Q210912,Q200656,2180
Q121182,Q2613040,2188
Q11291191,Q5913342,2190
Q101609467,Q419342,2198
Q5048342,Q183560,2199
Q18659,Q5776,2205
Q925100,Q1001437,2209
Q3238071,Q5158280,2213
Q2056285,Q1213044,2230
Q1080794,Q1304477,2233
Q2613040,Q1221,2250
Q3751077,Q828224,2252
Q227502,Q65068949,2253
Q17125199,Q945238,2255
Q6415016,Q809938,2266
Q43015,Q58185346,2292
Q895848,Q16857188,2300
Q400674,Q889669,2302
Q400674,Q1462136,2302
Q889669,Q1462136,2302
Q2587942,Q818,2310
Q231000,Q108144643,2323
Q2630687,Q157171,2338
Q99,Q419911,2355
Q288452,Q1326336,2389
Q5445576,Q21072042,2402
Q5445576,Q817393,2402
Q21072042,Q817393,2402
Q98149276,Q1123260,2408
Q170285,Q96,2435
Q8449772,Q105473468,2449
Q409411,Q11995,2465
Q28368926,Q17027869,2466
Q75040,Q15180,2486
Q98149276,Q133279,2490
Q705450,Q108144643,2503
Q30,Q111945786,2505
Q1001437,Q273404,2506
Q7240824,Q12131,2514
Q193663,Q7773619,2527
Q48282,Q895262,2529
Q48282,Q16927658,2529
Q895262,Q16927658,2529
Q5681083,Q5141380,2531
Q468565,Q1001437,2534
Q273623,Q7404297,2556
Q298610,Q30,2566
Q669480,Q1397,2568
Q94708,Q836246,2582
Q88,Q645446,2583
Q4780963,Q97359384,2601
Q109941440,Q107394799,2615
Q850210,Q342471,2623
Q98149276,Q11995,2630
Q2613040,Q95483912,2631
Q144,Q15,2634
Q144,Q30,2634
Q15,Q30,2634
Q5456615,Q400674,2669
Q451931,Q16857188,2672
Q114352646,Q107120,2693
Q2333935,Q191924,2720
Q109558110,Q252300,2745
Q2300281,Q60863159,2748
Q1400881,Q397098,2759
Q1400881,Q155656,2759
Q397098,Q155656,2759
Q2419430,Q428363,2763
Q58185346,Q48282,2788
Q99,Q58185346,2790
Q99,Q28153896,2790
Q58185346,Q28153896,2790
Q3409626,Q3128989,2801
Q1224394,Q7066583,2809
Q1224394,Q538111,2809
Q7066583,Q538111,2809
Q1033,Q30,2820
Q225787,Q15762858,2823
Q144,Q20988424,2847
Q2333935,Q30,2852
Q182598,Q162235,2858
Q1067738,Q608190,2872
Q1067738,Q140053,2873
Q27237522,Q1194947,2913
Q33525,Q409411,2949
Q2178191,Q41171,2972
Q2178191,Q210871,2972
Q41171,Q210871,2972
Q638193,Q5690825,2984
Q2630069,Q52087868,2985
Q30,Q2019,2995
Q103767,Q818,3012
Q843877,Q525,3015
Q11655231,Q104858363,3018
Q552461,Q7240824,3027
Q134130,Q2072146,3046
Q2251881,Q915466,3048
Q107394799,Q3184856,3062
Q730920,Q189833,3073
Q290312,Q22063662,3077
Q7617847,Q21791528,3087
Q607695,Q108144643,3104
Q1312371,Q17027869,3120
Q2306789,Q6460735,3123
Q2752427,Q2359118,3127
Q4672766,Q43015,3172
Q22348635,Q424193,3189
Q989120,Q41576,3209
Q11229,Q7229772,3212
Q11229,Q577,3212
Q7229772,Q577,3212
Q402820,Q540571,3224
Q231000,Q1391,3231
Q5451651,Q3072837,3249
Q468565,Q680909,3263
Q650812,Q7404297,3266
Q108144643,Q422404,3267
Q108144643,Q131327,3267
Q422404,Q131327,3267
Q75,Q30,3287
Q1588,Q577,3296
Q958731,Q418590,3311
Q104868587,Q1392263,3312
Q65072799,Q336119,3316
Q56274463,Q16857188,3333
Q409411,Q128581,3335
Q47740,Q28153896,3338
Q82352,Q7404297,3358
Q8449772,Q3406668,3375
Q8449772,Q1326354,3375
Q8449772,Q512778,3375
Q3406668,Q1326354,3375
Q3406668,Q512778,3375
Q1326354,Q512778,3375
Q1272356,Q419342,3384
Q1339409,Q260732,3395
Q1339409,Q246899,3395
Q1339409,Q3161788,3395
Q260732,Q246899,3395
Q260732,Q3161788,3395
Q246899,Q3161788,3395
Q3259956,Q1504425,3406
Q342507,Q15035008,3411
Q1023249,Q15762858,3437
Q628967,Q1339409,3460
Q6130303,Q107394799,3468
Q6906575,Q99,3477
Q242736,Q7543491,3486
Q242736,Q159683,3486
Q7543491,Q159683,3486
Q69897,Q99,3489
Q733780,Q113677740,3490
Q12126893,Q58185346,3513
Q5149038,Q1456,3530
Q7261173,Q16857188,3534
Q1454,Q104864702,3542
Q3988718,Q30,3550
Q6715355,Q11088,3554
Q6715355,Q1219383,3554
Q11088,Q1219383,3554
Q8366851,Q69897,3556
Q3304533,Q986388,3564
Q11268,Q1151519,3586
Q300968,Q4646303,3596
Q111945786,Q12171,3597
Q8463,Q8676,3613
Q2699825,Q1326354,3615
Q895262,Q15762858,3616
Q346499,Q99,3619
Q100,Q422447,3646
Q108841552,Q1204,3649
Q903682,Q398355,3660
Q263214,Q7227000,3683
Q448244,Q475000,3684
Q317309,Q107394799,3693
Q400674,Q144,3695
Q15752765,Q126403,3701
Q637929,Q226797,3718
Q1494600,Q1537,3724
Q296049,Q4553147,3729
Q944436,Q399644,3736
Q944436,Q3960056,3736
Q399644,Q3960056,3736
Q733780,Q829,3747
Q683563,Q1298120,3750
Q2145107,Q16857188,3752
Q20026887,Q230880,3769
Q4006581,Q11696,3775
Q565176,Q224895,3778
Q7570195,Q30,3790
Q527905,Q17027869,3808
Q794,Q43,3812
Q2723740,Q341021,3839
Q7574839,Q502285,3848
Q17027869,Q115686881,3885
Q17027869,Q108144643,3885
Q115686881,Q108144643,3885
Q79472,Q1140235,3891
Q60442,Q16864543,3899
Q40821,Q11211,3907
Q562566,Q700875,3913
Q30,Q3184856,3917
Q209577,Q870337,3933
Q225812,Q448244,3945
Q3561188,Q40821,3948
Q738142,Q2043282,3959
Q738142,Q1326354,3959
Q2043282,Q1326354,3959
Q219351,Q290687,3961
Q115686881,Q3594958,3965
Q107394799,Q7522845,3983
Q683595,Q7404297,3989
Q94708,Q724,3991
Q7574788,Q107394799,3999
Q2613040,Q2145107,4003
Q11570,Q408646,4026
Q109592077,Q183273,4029
