wikidata_id_a,wikidata_id_b,trec_id
Q11211,Q794,10010
Q11211,Q423,10010
Q794,Q423,10010
Q105972808,Q1202615,10011
Q3372903,Q816,10012
Q21646280,Q114152659,10047
Q16865949,Q2886899,10055
Q156537,Q1494,10061
Q40858,Q27137,10070
Q1500702,Q55495511,10072
Q6351314,Q85758606,10076
Q6351314,Q7423376,10076
Q85758606,Q7423376,10076
Q850210,Q30,10077
Q245353,Q1260022,10084
Q5196494,Q218719,10090
Q85758606,Q947286,10091
Q1415366,Q245353,10099
Q4577,Q1894232,10106
Q85758606,Q16863733,10111
Q1080794,Q425381,10115
Q1080794,Q28153896,10115
Q425381,Q28153896,10115
Q4577,Q107394799,10127
Q223638,Q482618,10131
Q618655,Q1056486,10135
Q4806846,Q924713,10136
Q269365,Q6498684,10150
Q191839,Q1183,10154
Q850210,Q1853339,10161
Q4834498,Q818,10180
Q48525,Q171251,10182
Q878041,Q174876,10186
Q30,Q16,10199
Q42138,Q96,10211
Q42138,Q841440,10211
Q96,Q841440,10211
Q2021163,Q11995,10219
Q40015,Q4314270,10221
Q2742406,Q1295316,10236
Q200403,Q1473317,10249
Q13561011,Q101609467,10258
Q194489,Q11696,10266
Q194489,Q4689888,10266
Q11696,Q4689888,10266
Q4173909,Q124407,10268
Q11661,Q3808900,10270
Q156537,Q28135300,10273
Q5471425,Q3244552,10279
Q5471425,Q107639314,10279
Q5471425,Q55726838,10279
Q3244552,Q107639314,10279
Q3244552,Q55726838,10279
Q107639314,Q55726838,10279
Q268733,Q2296401,10280
Q1233953,Q378078,10282
Q167191,Q107394799,10288
Q759508,Q28153896,10298
Q48525,Q603948,10299
Q48525,Q210420,10299
Q603948,Q210420,10299
Q5308931,Q44,10301
Q5308931,Q11995,10301
Q44,Q11995,10301
Q300377,Q11696,10303
Q11650,Q622821,10307
Q18562479,Q829,10312
Q628708,Q789915,10316
Q105972808,Q18351474,10317
Q3656255,Q943693,10324
Q603948,Q4986438,10327
Q1028547,Q55726838,10336
Q1028547,Q817,10336
Q55726838,Q817,10336
Q3907619,Q537749,10337
Q48282,Q99,10342
Q83900,Q5500224,10346
Q49297,Q558635,10355
Q58702,Q30,10357
Q7889807,Q3960056,10359
Q41171,Q4607253,10365
Q65117495,Q104969991,10366
Q150394,Q2623912,10370
Q96377285,Q113677740,10371
Q15751964,Q7201371,10372
Q7403450,Q953945,10381
Q7403450,Q1009788,10381
Q7403450,Q7257279,10381
Q953945,Q1009788,10381
Q953945,Q7257279,10381
Q1009788,Q7257279,10381
Q749939,Q99,10390
Q269608,Q771296,10393
Q942326,Q231043,10400
Q362,Q245353,10437
Q5459737,Q5891,10443
Q3184856,Q7331102,10450
Q818,Q291174,10464
Q5174734,Q4986438,10471
Q1324077,Q7692370,10477
Q15751964,Q7423376,10491
Q69897,Q142153,10501
Q635772,Q1324077,10504
Q212344,Q183,10509
Q430024,Q3808900,10517
Q6055890,Q28153896,10518
Q1916282,Q2623912,10526
Q904707,Q922625,10528
Q26844,Q304863,10530
Q16857188,Q4918888,10532
Q5196494,Q6004986,10533
Q65068949,Q7884994,10534
Q3278247,Q5174734,10535
Q420060,Q182098,10542
Q1973412,Q4917,10543
Q572931,Q99,10544
Q1509,Q156849,10545
Q1509,Q118,10545
Q156849,Q118,10545
Q4006581,Q564612,10546
Q4683443,Q191089,10567
Q750195,Q767485,10569
Q3267830,Q1776685,10585
Q89546,Q16863733,10593
Q482853,Q5097982,10594
Q1916282,Q830382,10605
Q1916282,Q315412,10605
Q830382,Q315412,10605
Q211036,Q1641494,10620
Q5357778,Q851,10627
Q870337,Q3372903,10628
Q870337,Q16863733,10628
Q3372903,Q16863733,10628
Q11229,Q2613040,10636
Q38695,Q751728,10644
Q4488757,Q181467,10647
Q7112169,Q3184856,10654
Q497976,Q7247905,10661
Q11651,Q16,10663
Q186290,Q424333,10668
Q772298,Q107394799,10680
Q6818346,Q178803,10681
Q16857188,Q364005,10691
Q23558,Q107394799,10699
Q7366150,Q2586912,10700
Q173,Q837552,10724
Q6004986,Q841440,10729
Q1068361,Q2064047,10733
Q669262,Q696166,10737
Q294240,Q1456,10741
Q7315485,Q7914465,10742
Q382084,Q186545,10748
Q1230015,Q220187,10749
Q11851202,Q1889114,10754
Q1339409,Q181467,10757
Q3184856,Q3003209,10764
Q3184856,Q1349872,10764
Q3003209,Q1349872,10764
Q17014551,Q736715,10766
Q17014551,Q101991,10766
Q736715,Q101991,10766
Q917069,Q3808900,10774
Q1643563,Q12187,10784
Q5060555,Q1397560,10795
Q5060555,Q99,10795
Q1397560,Q99,10795
Q182868,Q525,10815
Q928670,Q209572,10817
Q928670,Q16035842,10817
Q209572,Q16035842,10817
Q18351474,Q816,10823
Q48282,Q12131,10832
Q48282,Q1080794,10832
Q12131,Q1080794,10832
Q7112169,Q3184856,10843
Q4577,Q1204,10857
Q1906840,Q48525,10861
Q3241625,Q277773,10864
Q4006581,Q2305417,10874
Q4006581,Q1964968,10874
Q2305417,Q1964968,10874
Q5190255,Q27928083,10882
Q2588869,Q174876,10883
Q1272356,Q603948,10887
Q1272356,Q4834498,10887
Q603948,Q4834498,10887
Q380770,Q1649,10897
Q192341,Q2900682,10909
Q7308806,Q65117495,10915
Q895262,Q49297,10931
Q895262,Q1537,10931
Q49297,Q1537,10931
Q412556,Q16857188,10933
Q155656,Q159733,10936
Q3354346,Q410943,10948
Q3184856,Q30,10950
Q7156893,Q2900682,10953
Q1497,Q4915,10962
Q7689450,Q23558,10967
Q23198777,Q5377762,10970
Q4698924,Q201608,10973
Q1479935,Q465607,10977
Q110,Q1091190,10987
Q749461,Q23558,10988
Q170404,Q96,10989
Q152074,Q4215769,10990
Q4631023,Q862632,11004
Q167191,Q1931511,11009
Q167191,Q1899048,11009
Q1931511,Q1899048,11009
Q513910,Q11201,11021
Q99,Q595071,11026
Q6806605,Q7229772,11035
Q399644,Q16857188,11039
Q1614849,Q16555,11054
Q680909,Q818,11063
Q5454994,Q1581,11071
Q4577,Q2623912,11073
Q629029,Q259516,11075
Q5137681,Q2736206,11081
Q187939,Q8303885,11088
Q7398599,Q597821,11089
Q7398599,Q3284355,11089
Q597821,Q3284355,11089
Q1757598,Q1080794,11092
Q5280321,Q48525,11096
Q4173909,Q620876,11107
Q44,Q188628,11108
Q1345528,Q142153,11112
Q48525,Q1193004,11122
Q628967,Q3988718,11131
Q69897,Q1196129,11132
Q69897,Q850210,11132
Q1196129,Q850210,11132
Q494478,Q5097982,11160
Q660,Q259516,11165
Q7847109,Q1393,11182
Q194907,Q908639,11186
Q417782,Q690604,11192
Q17125199,Q101991,11218
Q4006581,Q2900682,11231
Q269365,Q96407993,11232
Q4492609,Q1244860,11244
Q115686881,Q307462,11254
Q818,Q771296,11261
Q383126,Q3286546,11277
Q307462,Q2699825,11278
Q307462,Q23558,11278
Q2699825,Q23558,11278
Q30,Q6973556,11280
Q188628,Q55742588,11287
Q917540,Q11661,11297
Q291174,Q2300281,11312
Q105972808,Q934866,11314
Q105972808,Q856887,11314
Q934866,Q856887,11314
Q30,Q7283,11320
Q30,Q10806,11320
Q7283,Q10806,11320
Q157171,Q191089,11323
Q12131,Q535691,11333
Q4834498,Q240673,11334
Q85758606,Q107394799,11341
Q844903,Q47715,11343
Q174876,Q718927,11356
Q1304214,Q1553701,11366
Q11033,Q183560,11371
Q48525,Q5608642,11385
Q30,Q895848,11390
Q40858,Q1077952,11395
Q746177,Q115686881,11399
Q7902865,Q1295316,11402
Q683595,Q142153,11410
Q747883,Q3241451,11411
Q683595,Q2630687,11416
Q4488757,Q7283,11429
Q5969600,Q5123552,11432
Q733780,Q65091783,11433
Q30,Q35,11436
Q42138,Q6004986,11442
Q702049,Q2623912,11445
Q7572487,Q2623912,11453
Q648666,Q169357,11487
Q40858,Q6646863,11491
Q1753581,Q1940772,11507
Q1339409,Q1529327,11518
Q2300281,Q96,11523
Q917069,Q5,11524
Q5174734,Q100159,11526
Q5174734,Q85767297,11526
Q100159,Q85767297,11526
Q118382,Q49085,11537
Q118382,Q7315941,11537
Q49085,Q7315941,11537
Q131567,Q108291551,11539
Q1813603,Q193894,11548
Q6027402,Q5097982,11556
Q110953177,Q217418,11568
Q733780,Q23852,11569
Q733780,Q5668175,11569
Q23852,Q5668175,11569
Q65068949,Q2445751,11582
Q559549,Q818,11594
Q134130,Q4929239,11614
Q1094,Q514525,11618
Q306963,Q718927,11622
Q28135987,Q30,11628
Q28135987,Q30,11628
Q30,Q30,11628
Q39825,Q49297,11629
Q5123552,Q191924,11634
Q47715,Q191089,11635
Q771,Q12128,11645
Q2713450,Q3558289,11652
Q16857188,Q43015,11657
Q631360,Q12813115,11661
Q631360,Q738142,11661
Q12813115,Q738142,11661
Q2824534,Q8038640,11663
Q99,Q245353,11667
Q1227,Q30,11673
Q812056,Q294240,11680
Q870337,Q34404,11682
Q3239011,Q3003209,11685
Q7556707,Q65091783,11688
Q85758606,Q1643563,11690
Q85758606,Q16863733,11690
Q1643563,Q16863733,11690
Q17027869,Q191089,11695
Q2613040,Q1301203,11701
Q476921,Q191089,11711
Q6753080,Q1204559,11713
Q5174019,Q3735932,11717
Q60520,Q8676,11718
Q488415,Q1266710,11723
Q149524,Q115686881,11728
Q7257960,Q75,11730
Q167191,Q1931511,11731
Q210947,Q95483912,11733
Q210947,Q109941440,11733
Q95483912,Q109941440,11733
Q5939160,Q97704210,11738
Q2796622,Q2613040,11743
Q2796622,Q628708,11743
Q2613040,Q628708,11743
Q16857188,Q161701,11746
Q1131870,Q2623912,11749
Q134130,Q1091190,11757
Q101078012,Q749698,11775
Q7271539,Q2585724,11778
Q178095,Q733,11802
Q877290,Q107394799,11806
Q188297,Q193894,11814
Q189033,Q1337087,11828
Q1161692,Q245353,11832
Q728502,Q3216196,11840
Q116148291,Q2073057,11843
Q3988718,Q30,11846
Q315562,Q922381,11858
Q163186,Q2900682,11862
Q7398599,Q108006,11867
Q115686881,Q13561011,11874
Q113677740,Q1183,11876
Q16934857,Q2389585,11877
Q248914,Q1454,11899
Q167191,Q2047938,11909
Q28153896,Q107394799,11920
Q1976487,Q2922711,11922
Q471130,Q412556,11929
Q41171,Q3043314,11934
Q41171,Q107394799,11934
Q3043314,Q107394799,11934
Q2305417,Q668687,11937
Q96377285,Q1109680,11948
Q30,Q5196494,11950
Q30,Q109941440,11950
Q5196494,Q109941440,11950
Q43301,Q7571373,11960
Q6621940,Q2813040,11963
Q4577,Q76847110,11967
Q1083200,Q236,11974
Q16552,Q134130,11985
Q48673919,Q2000414,11991
Q15752765,Q161701,12001
Q5343185,Q362,12017
Q870337,Q1091190,12023
Q5357778,Q3238071,12029
Q48525,Q107394799,12030
Q48525,Q513910,12030
Q107394799,Q513910,12030
Q424976,Q161701,12033
Q188447,Q1091190,12034
Q1641851,Q1768566,12041
Q157171,Q191089,12045
Q483106,Q113677740,12049
Q269365,Q824,12051
Q48525,Q1117196,12054
Q48525,Q48997713,12063
Q85758606,Q1603,12065
Q99,Q188628,12069
Q99,Q12128,12069
Q188628,Q12128,12069
Q7069477,Q1339409,12074
Q317309,Q2217351,12078
Q317309,Q105972808,12078
Q2217351,Q105972808,12078
Q110,Q4568876,12084
Q23558,Q69883,12090
Q22656,Q40858,12096
Q16857188,Q7928606,12103
Q577,Q1891441,12104
Q577,Q16863733,12104
Q1891441,Q16863733,12104
Q1178984,Q106394435,12108
Q21086751,Q300377,12111
Q5097775,Q245353,12116
Q12813115,Q23558,12120
Q4577,Q18419,12124
Q1906840,Q603948,12128
