wikidata_id_a,wikidata_id_b,trec_id
Q3914,Q1379672,1
Q7188,Q189539,6
Q668687,Q105985,24
Q42462,Q3914,31
Q1239854,Q5227901,39
Q3947,Q189539,50
Q6347481,Q23556,52
Q11663,Q3504641,53
Q7743,Q194189,71
Q99,Q862577,81
Q1025716,Q180323,83
Q128887,Q135621,84
Q389735,Q1072,98
Q143873,Q191081,111
Q1578,Q184439,119
Q40080,Q232335,123
Q850210,Q173,126
Q656365,Q40080,139
Q37425,Q29496,151
Q455550,Q7485806,152
Q656365,Q1166,171
Q4026563,Q60,174
Q1415,Q7485058,175
Q368305,Q8359601,183
Q16979510,Q739,199
Q131543,Q7256498,205
Q157171,Q1439,207
Q11707,Q1247463,214
Q12078,Q608152,217
Q40357,Q1456,224
Q656365,Q99,229
Q8751545,Q74304,230
Q177719,Q1527888,253
Q833066,Q7485806,261
Q332154,Q621114,265
Q656365,Q899277,270
Q19939990,Q1415,271
Q3358290,Q7485806,288
Q36963,Q1415,297
Q11707,Q813,307
Q309,Q16502,312
Q309,Q5292,312
Q16502,Q5292,312
Q2095,Q2138622,314
Q61509,Q1066823,343
Q150784,Q7485806,364
Q4026563,Q12132,366
Q675,Q1420,367
Q28855240,Q1142240,372
Q200535,Q31087,384
Q9618,Q488415,388
Q1893186,Q1212,392
Q311726,Q1139046,400
Q37726,Q40080,402
Q918385,Q1217379,404
Q1393,Q180388,405
Q177719,Q276469,409
Q177719,Q726,409
Q276469,Q726,409
Q131774,Q16863733,411
Q1531490,Q822050,412
Q165,Q923919,435
Q79854,Q753312,437
Q30,Q8280239,446
Q7188,Q7590,450
Q16,Q4022,454
Q283202,Q22698,463
Q7754,Q9418,470
Q1784752,Q2811256,477
Q7216833,Q7485806,486
Q243253,Q369577,517
Q267917,Q60,526
Q11995,Q12136,540
Q726,Q7886,543
Q7101933,Q17002116,546
Q8979144,Q1204,569
Q191081,Q7485806,590
Q7334623,Q756788,599
Q11379,Q7485806,601
Q3743205,Q16863733,602
Q569057,Q407541,607
Q500280,Q30,616
Q189539,Q1204,639
Q16555,Q656365,644
Q824,Q7257959,667
Q15100200,Q144,689
Q11379,Q42240,696
Q183129,Q8227715,701
Q191081,Q7485806,702
Q99,Q12796,712
Q179686,Q96,717
Q8676,Q7139785,741
Q11190,Q11995,754
Q202013,Q41861,774
Q614304,Q60,776
Q16917,Q7495724,786
Q81938,Q9631,792
Q194189,Q1212,801
Q12483,Q771,804
Q193583,Q492348,827
Q46857,Q7485806,854
Q194189,Q3561101,857
Q211256,Q7485806,861
Q23797,Q1074,872
Q275186,Q2585032,874
Q656365,Q794,878
Q656365,Q30,878
Q794,Q30,878
Q121176,Q1393,887
Q1397,Q7485806,890
Q11229,Q1326731,896
Q317309,Q16863733,913
Q614304,Q16863733,922
Q918385,Q131172,926
Q1779,Q187947,931
Q7873,Q272035,940
Q7873,Q11995,940
Q272035,Q11995,940
Q4897839,Q35127,967
Q826745,Q18097,975
Q30,Q362,1000
Q47528,Q1066823,1004
Q2095,Q38695,1025
Q2095,Q1751775,1025
Q38695,Q1751775,1025
Q7164078,Q133076,1055
Q9655,Q193894,1061
Q1247867,Q7756344,1067
Q4047087,Q1334327,1072
Q3686031,Q1133,1085
Q79602,Q8092,1096
Q5308931,Q40357,1098
Q22131947,Q177342,1106
Q16955489,Q1088113,1128
Q213449,Q620876,1135
Q467,Q4830453,1155
Q293634,Q11035,1156
Q3947,Q1204,1205
Q1420,Q60,1212
Q30,Q293634,1215
Q142292,Q3914,1222
Q613076,Q7485806,1226
Q7432,Q1454,1257
Q2312,Q4607241,1291
Q43183,Q16422,1299
Q10273457,Q194189,1301
Q7495724,Q189539,1325
Q183,Q30,1331
Q23390,Q99,1342
Q8434,Q16863733,1344
Q14080,Q8678,1358
Q14080,Q28452851,1358
Q8678,Q28452851,1358
Q166142,Q103076,1360
Q9217334,Q42848,1364
Q49827603,Q5357120,1381
Q468565,Q116348,1384
Q859257,Q1101796,1397
Q30,Q91,1402
Q8434,Q656365,1438
Q12131,Q96,1453
Q4006,Q261680,1457
Q1370,Q395,1465
Q1370,Q336,1465
Q395,Q336,1465
Q756,Q83323,1490
Q1192331,Q15326,1509
Q1192331,Q3184856,1509
Q15326,Q3184856,1509
Q1574099,Q37501,1512
Q918385,Q4566425,1530
Q918385,Q131774,1533
Q918385,Q16863733,1533
Q131774,Q16863733,1533
Q108755820,Q1391,1542
Q170518,Q101991,1547
Q9612,Q11995,1604
Q189720,Q424976,1605
Q8473,Q4577,1607
Q213439,Q171038,1612
Q3914,Q7485806,1613
Q293634,Q99,1615
Q42240,Q468565,1616
Q153,Q3391243,1650
Q1156854,Q656365,1654
Q2,Q102904,1677
Q166231,Q476921,1697
Q132621,Q1072,1699
Q132621,Q53636,1699
Q1072,Q53636,1699
Q844837,Q96,1700
Q157171,Q184442,1719
Q16745378,Q7561,1740
Q16745378,Q468809,1740
Q7561,Q468809,1740
Q1566,Q48525,1750
Q3924032,Q8395558,1751
Q317309,Q918385,1753
Q20165,Q8854132,1760
Q12187,Q173022,1773
Q7188,Q846544,1775
Q48525,Q5620861,1784
Q12271,Q932522,1812
Q1217379,Q194189,1818
Q1217379,Q1588,1818
Q194189,Q1588,1818
Q49371,Q9430,1829
Q1385709,Q130768,1838
Q779,Q37226,1846
Q4026563,Q11028,1852
Q11574,Q413,1853
Q8818459,Q105190,1856
Q213449,Q496,1860
Q1204,Q1581,1862
Q43183,Q1408,1865
Q12136,Q131774,1866
Q83405,Q3504641,1872
Q8636428,Q6276290,1875
Q6256,Q15,1890
Q4006,Q1334327,1897
Q1415,Q189004,1900
Q11255,Q48525,1906
Q4006,Q1334327,1912
Q11190,Q189603,1914
Q16917,Q1612,1919
Q16917,Q1581,1919
Q1612,Q1581,1919
Q4047087,Q30,1935
Q159810,Q2824547,1937
Q1311,Q177749,1941
Q30,Q33829,1948
Q656720,Q708492,1949
Q4104783,Q877729,1952
Q18758123,Q1204,1963
Q187706,Q42165,1970
Q17027571,Q187939,1977
Q11190,Q48525,1981
Q35535,Q208762,1983
Q18758123,Q619829,1993
Q741471,Q183134,2007
Q9128,Q8363444,2027
Q9128,Q405,2027
Q8363444,Q405,2027
Q38404,Q16863733,2031
Q7269,Q7485806,2033
Q454263,Q3924032,2040
Q38918,Q8040931,2057
Q4022,Q283,2063
Q8445,Q93190,2068
Q8445,Q384014,2068
Q93190,Q384014,2068
Q864601,Q7315941,2073
Q104493,Q43183,2078
