property_id,counts
P4850,1
P5439,1
P5802,1
P7152,1
P10613,1
P660,2
P922,2
P1221,2
P1913,2
P1914,2
P1915,2
P1917,2
P4809,2
P5070,2
P6243,2
P8824,2
P9547,2
P11463,2
P6095,3
P9664,3
P11385,3
P11424,3
P12002,3
P970,4
P5881,4
P6884,4
P7482,4
P7600,4
P7601,4
P8615,4
P9611,4
P9895,4
P11590,4
P11821,4
P12006,4
P12041,4
P1956,5
P3969,5
P4882,5
P5438,5
P5589,5
P6657,5
P6938,5
P10150,5
P10630,5
P3774,6
P4624,6
P6948,6
P7442,6
P10129,6
P10946,6
P11231,6
P925,7
P926,7
P1210,7
P1897,7
P2841,7
P5560,7
P8864,7
P10714,7
P11356,7
P11814,7
P11922,7
P369,8
P9028,8
P10176,8
P2414,9
P3357,9
P3447,9
P537,10
P565,10
P3741,10
P3771,10
P5913,10
P6939,10
P538,11
P1898,11
P4958,11
P8339,11
P3772,12
P4954,12
P7010,12
P7162,12
P8480,12
P8535,12
P1604,13
P1912,13
P3773,13
P7582,13
P8331,13
P1918,14
P2577,14
P4006,14
P5591,14
P8536,14
P8866,14
P10754,14
P928,15
P1170,15
P4099,15
P6563,15
P9260,15
P11387,15
P2127,16
P4425,16
P11603,16
P10695,17
P2839,18
P10067,18
P1606,19
P7169,19
P8203,19
P9030,19
P9353,19
P11484,19
P1171,20
P2375,20
P5203,20
P10612,20
P11633,20
P2831,21
P6608,21
P10645,21
P8107,22
P8306,22
P10642,22
P11558,22
P4452,23
P5872,23
P3493,24
P4774,24
P5133,24
P8194,24
P11950,24
P2702,25
P6116,25
P10994,25
P12050,25
P2376,26
P5134,26
P10806,26
P1910,27
P6684,27
P10729,27
P1660,28
P1916,28
P7378,28
P873,29
P8764,29
P1677,30
P2156,30
P6530,31
P7500,31
P10228,31
P3816,32
P5206,32
P7406,32
P514,34
P2502,34
P7165,34
P8738,34
P1851,35
P4988,35
P7508,35
P10788,35
P8258,36
P5024,38
P2319,39
P2279,40
P9977,40
P1349,42
P7643,43
P8739,43
P7861,44
P4426,45
P6106,45
P1887,47
P5095,47
P2445,48
P5328,48
P7167,48
P9239,48
P4082,49
P6840,49
P7253,49
P8307,49
P10594,49
P1425,50
P2822,50
P4444,50
P10680,50
P1372,51
P2095,51
P6440,51
P10927,52
P4292,53
P4443,54
P8097,54
P2366,55
P6540,55
P1909,56
P2396,57
P2820,57
P8652,58
P3264,59
P11197,59
P4545,60
P11964,60
P2746,62
P2821,62
P7045,62
P10654,62
P7719,63
P11491,63
P11785,63
P693,64
P5248,64
P4968,65
P2591,67
P8274,67
P7309,69
P2288,70
P12011,70
P3093,72
P4733,72
P2876,73
P3902,73
P545,74
P5446,74
P2152,75
P9700,75
P550,80
P6534,80
P5444,81
P1903,82
P3205,82
P6533,82
P8625,82
P1137,83
P5475,83
P10672,83
P10374,84
P1199,85
P1703,86
P3679,87
P6118,87
P7767,87
P8927,87
P7781,88
P10960,88
P543,90
P11220,90
P916,91
P8901,91
P3440,94
P8693,96
P1704,98
P5136,98
P3358,99
P3701,100
P8810,100
P2964,101
P5805,101
P6452,102
P1789,104
P1878,104
P3335,107
P3776,108
P5131,108
P8865,108
P2784,109
